               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059445,            0.054149,            0.010192,              0.8512,             0.75405,             0.84315,              0.4837,            0.041862,            0.037461,           0.0052001,           0.0033312,           0.0033312,            0.070019
                   1,            0.046819,            0.050344,           0.0056879,             0.86142,             0.77188,             0.85962,             0.53186,            0.038209,            0.036893,           0.0047411,           0.0062628,           0.0062628,            0.039617
                   2,            0.043568,            0.050737,            0.005234,             0.85097,             0.76486,             0.84824,             0.52404,            0.038328,            0.037722,           0.0044825,           0.0077484,           0.0077484,           0.0077696
                   3,            0.041173,            0.050177,           0.0049124,             0.86392,             0.77839,             0.86278,             0.55668,            0.036177,            0.036193,           0.0040283,              0.0055,              0.0055,              0.0055
                   4,            0.040457,            0.049786,            0.004694,              0.8704,             0.78715,             0.87116,             0.57105,            0.035419,            0.035674,           0.0038692,              0.0055,              0.0055,              0.0055
                   5,            0.038708,            0.048405,           0.0044135,             0.87202,             0.79952,             0.88066,             0.58683,             0.03431,            0.034606,           0.0036429,             0.00325,             0.00325,             0.00325
