               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,             0.02172,            0.024227,           0.0019156,             0.98552,              0.9689,             0.98263,              0.8208,            0.013005,            0.017996,           0.0009302,           0.0055471,           0.0055471,           0.0055471
                 151,            0.021592,            0.024076,           0.0019015,             0.98558,             0.96896,             0.98265,             0.82145,            0.012982,            0.017964,          0.00092907,              0.0055,              0.0055,              0.0055
                 152,            0.021562,            0.024067,           0.0018967,             0.98521,             0.96944,             0.98268,             0.82181,            0.012958,            0.017934,          0.00092809,           0.0054529,           0.0054529,           0.0054529
                 153,             0.02164,            0.024016,           0.0019271,             0.98535,             0.96947,             0.98273,             0.82241,            0.012934,            0.017903,          0.00092697,           0.0054058,           0.0054058,           0.0054058
                 154,            0.021509,            0.023979,           0.0018857,             0.98596,             0.96908,             0.98278,             0.82274,            0.012911,            0.017873,           0.0009259,           0.0053587,           0.0053587,           0.0053587
                 155,            0.021525,            0.024035,            0.001897,             0.98578,             0.96937,             0.98284,             0.82304,            0.012887,            0.017841,           0.0009248,           0.0053116,           0.0053116,           0.0053116
                 156,            0.021417,             0.02386,              0.0019,             0.98571,             0.96961,             0.98284,             0.82329,            0.012863,            0.017805,          0.00092371,           0.0052645,           0.0052645,           0.0052645
                 157,            0.021382,            0.024039,           0.0018801,             0.98642,             0.96904,             0.98287,             0.82361,            0.012838,            0.017771,          0.00092272,           0.0052174,           0.0052174,           0.0052174
                 158,            0.021406,            0.023846,           0.0018971,              0.9866,             0.96914,             0.98294,              0.8239,            0.012815,             0.01774,          0.00092185,           0.0051704,           0.0051704,           0.0051704
                 159,            0.021378,            0.023833,           0.0018887,             0.98697,             0.96892,             0.98292,             0.82468,            0.012791,            0.017709,          0.00092085,           0.0051234,           0.0051234,           0.0051234
                 160,            0.021319,            0.023674,           0.0018889,             0.98682,              0.9692,               0.983,             0.82494,            0.012769,            0.017678,          0.00091984,           0.0050765,           0.0050765,           0.0050765
                 161,            0.021246,            0.023658,           0.0018844,             0.98649,             0.96963,             0.98303,              0.8252,            0.012745,            0.017644,           0.0009187,           0.0050296,           0.0050296,           0.0050296
                 162,            0.021312,            0.023679,           0.0018896,             0.98662,             0.96964,             0.98305,             0.82565,            0.012721,             0.01761,          0.00091768,           0.0049828,           0.0049828,           0.0049828
                 163,            0.021223,            0.023656,            0.001882,             0.98673,             0.96967,             0.98306,             0.82592,            0.012699,            0.017579,           0.0009165,            0.004936,            0.004936,            0.004936
                 164,             0.02121,            0.023647,           0.0018908,             0.98594,             0.97058,              0.9831,              0.8262,            0.012675,            0.017546,          0.00091533,           0.0048893,           0.0048893,           0.0048893
                 165,            0.021209,            0.023616,           0.0018698,             0.98648,              0.9702,             0.98313,             0.82661,            0.012653,            0.017513,          0.00091418,           0.0048426,           0.0048426,           0.0048426
                 166,            0.021118,            0.023749,           0.0018783,             0.98674,             0.97009,             0.98319,             0.82717,            0.012628,            0.017479,           0.0009129,            0.004796,            0.004796,            0.004796
                 167,             0.02114,            0.023445,           0.0018694,             0.98674,             0.97028,             0.98322,             0.82757,            0.012606,            0.017451,          0.00091182,           0.0047495,           0.0047495,           0.0047495
                 168,            0.021004,            0.023439,           0.0018674,             0.98688,              0.9703,             0.98327,             0.82819,            0.012582,            0.017418,          0.00091083,           0.0047031,           0.0047031,           0.0047031
                 169,            0.020985,            0.023501,           0.0018653,             0.98697,             0.97028,             0.98329,             0.82838,            0.012561,            0.017385,          0.00090969,           0.0046568,           0.0046568,           0.0046568
                 170,            0.021053,            0.023495,           0.0018644,             0.98728,             0.97017,             0.98332,             0.82884,            0.012538,            0.017355,          0.00090854,           0.0046105,           0.0046105,           0.0046105
                 171,            0.020952,            0.023303,           0.0018541,             0.98762,             0.96992,             0.98331,             0.82918,            0.012512,            0.017321,          0.00090752,           0.0045644,           0.0045644,           0.0045644
                 172,            0.020901,            0.023443,           0.0018545,             0.98798,              0.9698,             0.98334,             0.82956,            0.012491,            0.017289,          0.00090644,           0.0045184,           0.0045184,           0.0045184
                 173,            0.020898,            0.023413,           0.0018601,             0.98798,             0.96977,             0.98335,             0.83051,            0.012467,            0.017253,          0.00090526,           0.0044724,           0.0044724,           0.0044724
                 174,            0.020817,            0.023234,           0.0018572,             0.98767,             0.97019,             0.98338,             0.83114,            0.012443,            0.017218,          0.00090403,           0.0044266,           0.0044266,           0.0044266
                 175,            0.020865,            0.023321,           0.0018791,             0.98784,             0.97011,             0.98342,             0.83159,            0.012417,            0.017183,          0.00090294,           0.0043809,           0.0043809,           0.0043809
                 176,            0.020798,            0.023223,            0.001874,             0.98814,             0.96986,             0.98342,             0.83188,            0.012394,            0.017152,          0.00090192,           0.0043353,           0.0043353,           0.0043353
                 177,            0.020732,            0.023152,           0.0018515,             0.98874,             0.96943,             0.98346,              0.8322,            0.012371,            0.017118,          0.00090079,           0.0042899,           0.0042899,           0.0042899
                 178,             0.02074,            0.023121,           0.0018447,             0.98878,             0.96946,             0.98347,             0.83269,            0.012345,            0.017084,          0.00089957,           0.0042445,           0.0042445,           0.0042445
                 179,            0.020671,            0.023141,           0.0018391,             0.98743,             0.97084,              0.9835,             0.83303,            0.012321,            0.017052,          0.00089858,           0.0041994,           0.0041994,           0.0041994
                 180,            0.020627,            0.022955,           0.0018517,             0.98793,             0.97051,             0.98355,             0.83334,            0.012297,            0.017018,          0.00089748,           0.0041543,           0.0041543,           0.0041543
                 181,            0.020652,            0.022973,           0.0018604,             0.98807,             0.97042,             0.98356,             0.83386,            0.012273,            0.016985,          0.00089636,           0.0041094,           0.0041094,           0.0041094
                 182,            0.020568,            0.022844,           0.0018404,             0.98831,             0.97033,              0.9836,             0.83405,            0.012249,            0.016954,          0.00089516,           0.0040647,           0.0040647,           0.0040647
                 183,            0.020586,            0.023011,           0.0018406,             0.98811,             0.97069,              0.9836,             0.83495,            0.012226,            0.016923,          0.00089416,           0.0040201,           0.0040201,           0.0040201
                 184,             0.02044,            0.022696,           0.0018326,             0.98843,             0.97054,              0.9836,             0.83525,            0.012204,            0.016893,            0.000893,           0.0039757,           0.0039757,           0.0039757
                 185,            0.020434,            0.022866,           0.0018382,              0.9884,             0.97064,             0.98363,              0.8356,             0.01218,             0.01686,           0.0008919,           0.0039314,           0.0039314,           0.0039314
                 186,            0.020388,            0.022756,           0.0018252,             0.98856,             0.97054,             0.98364,              0.8361,            0.012157,            0.016827,          0.00089077,           0.0038873,           0.0038873,           0.0038873
                 187,            0.020372,            0.022772,           0.0018353,              0.9888,              0.9704,             0.98369,             0.83659,            0.012135,            0.016797,          0.00088965,           0.0038434,           0.0038434,           0.0038434
                 188,            0.020311,            0.022709,           0.0018125,             0.98867,             0.97055,              0.9837,             0.83685,            0.012111,            0.016764,          0.00088855,           0.0037997,           0.0037997,           0.0037997
                 189,             0.02031,            0.022563,           0.0018386,             0.98849,             0.97082,             0.98375,             0.83726,            0.012089,            0.016735,           0.0008874,           0.0037562,           0.0037562,           0.0037562
                 190,             0.02025,            0.022602,           0.0018188,             0.98862,             0.97085,             0.98378,             0.83767,            0.012065,            0.016701,          0.00088622,           0.0037128,           0.0037128,           0.0037128
                 191,            0.020316,            0.022603,           0.0018281,             0.98906,             0.97054,             0.98377,             0.83791,            0.012044,            0.016672,          0.00088522,           0.0036697,           0.0036697,           0.0036697
                 192,            0.020215,             0.02257,           0.0018312,             0.98888,             0.97084,             0.98378,             0.83829,            0.012023,            0.016639,          0.00088407,           0.0036267,           0.0036267,           0.0036267
                 193,            0.020207,            0.022562,            0.001826,              0.9887,             0.97117,             0.98382,             0.83859,            0.012003,            0.016612,          0.00088316,            0.003584,            0.003584,            0.003584
                 194,            0.020225,            0.022605,            0.001839,             0.98879,             0.97114,             0.98383,             0.83913,             0.01198,            0.016579,          0.00088215,           0.0035415,           0.0035415,           0.0035415
                 195,            0.020144,            0.022457,           0.0018159,             0.98888,             0.97113,             0.98384,             0.83938,            0.011958,             0.01655,          0.00088121,           0.0034991,           0.0034991,           0.0034991
                 196,            0.020057,            0.022466,           0.0018112,               0.989,              0.9711,             0.98386,             0.83977,            0.011936,            0.016521,          0.00088013,            0.003457,            0.003457,            0.003457
