               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025629,            0.028351,           0.0021325,             0.96674,             0.95619,             0.97404,             0.74658,            0.017493,            0.023432,           0.0011119,           0.0097178,           0.0097178,           0.0097178
                  36,            0.025579,            0.028378,           0.0021352,             0.96701,              0.9564,             0.97416,             0.74741,            0.017434,            0.023367,           0.0011099,           0.0097011,           0.0097011,           0.0097011
                  37,            0.025587,            0.028669,           0.0021244,             0.96795,             0.95606,             0.97432,             0.74853,            0.017376,            0.023297,           0.0011076,            0.009684,            0.009684,            0.009684
                  38,            0.025514,            0.028096,           0.0021378,             0.96858,             0.95588,             0.97444,             0.74933,            0.017315,            0.023234,           0.0011053,           0.0096664,           0.0096664,           0.0096664
                  39,            0.025487,            0.027964,           0.0021444,             0.96918,             0.95585,             0.97461,             0.75026,            0.017251,            0.023167,           0.0011031,           0.0096484,           0.0096484,           0.0096484
                  40,            0.025413,             0.02805,           0.0021364,             0.96934,             0.95603,             0.97471,             0.75143,            0.017189,              0.0231,           0.0011012,           0.0096299,           0.0096299,           0.0096299
                  41,            0.025338,            0.028043,           0.0021122,              0.9703,             0.95553,             0.97486,             0.75229,            0.017125,            0.023033,           0.0010991,            0.009611,            0.009611,            0.009611
                  42,            0.025256,            0.028013,            0.002149,             0.97055,             0.95571,             0.97494,             0.75315,            0.017066,            0.022968,           0.0010971,           0.0095916,           0.0095916,           0.0095916
                  43,            0.025294,            0.027872,           0.0021354,              0.9699,             0.95673,             0.97503,             0.75419,            0.017002,            0.022897,           0.0010949,           0.0095717,           0.0095717,           0.0095717
                  44,            0.025208,            0.027961,           0.0021199,             0.97147,             0.95575,             0.97515,             0.75501,            0.016938,             0.02283,           0.0010927,           0.0095514,           0.0095514,           0.0095514
                  45,            0.025107,            0.027952,           0.0021045,             0.97137,             0.95635,             0.97528,             0.75617,            0.016876,             0.02276,           0.0010906,           0.0095307,           0.0095307,           0.0095307
                  46,            0.025105,             0.02781,           0.0021205,             0.97139,             0.95691,              0.9754,             0.75697,            0.016813,            0.022691,           0.0010886,           0.0095095,           0.0095095,           0.0095095
                  47,            0.025085,            0.027809,           0.0021306,              0.9716,             0.95718,             0.97549,             0.75759,            0.016749,            0.022621,           0.0010867,           0.0094879,           0.0094879,           0.0094879
                  48,            0.025053,            0.027731,           0.0021214,             0.97149,             0.95772,             0.97558,             0.75845,            0.016687,            0.022551,           0.0010846,           0.0094659,           0.0094659,           0.0094659
                  49,            0.024999,            0.027717,           0.0021187,             0.97346,              0.9563,             0.97566,             0.75961,            0.016625,            0.022479,           0.0010825,           0.0094434,           0.0094434,           0.0094434
                  50,            0.024888,            0.027554,            0.002109,             0.97214,               0.958,             0.97575,             0.76062,            0.016559,            0.022408,           0.0010806,           0.0094205,           0.0094205,           0.0094205
                  51,             0.02483,            0.027471,           0.0020998,             0.97309,              0.9575,             0.97584,             0.76169,            0.016492,            0.022337,           0.0010786,           0.0093971,           0.0093971,           0.0093971
                  52,             0.02483,            0.027579,           0.0020973,             0.97311,             0.95791,             0.97593,             0.76253,            0.016429,             0.02227,           0.0010764,           0.0093733,           0.0093733,           0.0093733
                  53,            0.024794,            0.027349,           0.0021109,             0.97355,             0.95792,             0.97601,             0.76399,            0.016367,            0.022202,           0.0010741,           0.0093491,           0.0093491,           0.0093491
